,xinxi,cutted_xinxi
66,据和平区营口道惠嘉公寓居民反映，本月17日一伙打着“天津天著停车服务有限公司”的地痞流氓，在没有天津公安交通管理局任何许可其收停车费的情况下，强设在进出口设立栏杆，霸占业主公用停车场，张贴布告地上车位每月260，地下车位每月520，按季按年交给他们，否则禁止进出，业主们集体拒交，结果引发了群体性维权冲突，望有关部门加强管理！,据 和平区 营口 道惠嘉 公寓 居民 反映 ， 本月 17 日 一伙 打着 “ 天津 天著 停车 服务 有限公司 ” 的 地痞流氓 ， 在 没有 天津 公安交通 管理局 任何 许可 其收 停车费 的 情况 下 ， 强 设在 进出口 设立 栏杆 ， 霸占 业主 公用 停车场 ， 张贴 布告 地上 车位 每月 260 ， 地下 车位 每月 520 ， 按季 按 年 交给 他们 ， 否则 禁止 进出 ， 业主 们 集体 拒交 ， 结果 引发 了 群体性 维权 冲突 ， 望 有关 部门 加强 管理 ！
67,天津市和平区大沽南路长期有违章停车现象发生，在全运会即将开展之际，不但对城市的品味形象造成不良影响，还会使其它车辆正常通行效率也跟着受到影响损害大家的通行权利，望有关部门加强管理,天津市 和平区 大沽 南路 长期 有 违章 停车 现象 发生 ， 在 全运会 即将 开展 之际 ， 不但 对 城市 的 品味 形象 造成 不良影响 ， 还会 使 其它 车辆 正常 通行 效率 也 跟着 受到 影响 损害 大家 的 通行 权利 ， 望 有关 部门 加强 管理
68,天津市河北区月牙河地铁站路口，月牙河道方向红绿灯变换时间不一致，经常误导过路行人，极其容易造成事故，望抓紧整治。,天津市 河北区 月牙 河 地铁站 路口 ， 月牙 河道 方向 红绿灯 变换 时间 不 一致 ， 经常 误导 过路 行人 ， 极其 容易 造成 事故 ， 望 抓紧 整治 。
69,东丽区 津汉公路 津汉桥 桥下 外环线向机场方向 跃进路 交口 红绿灯未开启 而且这个地段车流量很大 致使早晚高峰经常拥堵 还总发生因为机动车抢行而发生的交通事故 希望有关部门尽快解决交通信号灯的问题 ！！！,东丽区   津汉 公路   津 汉桥   桥下   外环线 向 机场 方向   跃进路   交口   红绿灯 未 开启   而且 这个 地段 车流量 很大   致使 早晚 高峰 经常 拥堵   还 总 发生 因为 机动车 抢行 而 发生 的 交通事故   希望 有关 部门 尽快 解决 交通 信号灯 的 问题   ！ ！ ！
70,天津市塘沽区京门大道与滨海九路交口红绿灯处，由西向东方向，经常有很多机动车违章逆向行驶，该路段早晚高峰机动车通行量相当大，存在极大安全隐患，希望有关部门加强管理，制止机动车违章行为！！！,天津市 塘沽区 京门 大道 与 滨海 九路 交口 红绿灯 处 ， 由西向东 方向 ， 经常 有 很多 机动车 违章 逆向行驶 ， 该 路段 早晚 高峰 机动车 通行 量 相当 大 ， 存在 极大 安全隐患 ， 希望 有关 部门 加强 管理 ， 制止 机动车 违章行为 ！ ！ ！
71,天津市南开区西湖道与白堤路交口风荷园小区内垃圾成山，快成垃圾场了，每天居民把生活垃圾肆意乱扔，西边围墙边的树也被洗浴从小区大门进来给砍了，现在市政府及国家都提倡环保，希望有关部门予以关注,天津市 南开区 西湖 道 与 白堤路 交 口风 荷园 小 区内 垃圾 成山 ， 快成 垃圾场 了 ， 每天 居民 把 生活 垃圾 肆意 乱 扔 ， 西边 围墙 边 的 树 也 被 洗浴 从 小区 大门 进来 给 砍 了 ， 现在 市政府 及 国家 都 提倡 环保 ， 希望 有关 部门 予以 关注
72,东丽区 津汉桥 桥下 外环线向机场方向 跃进路 交口 红绿灯未开启 车流量很大 致使早晚高峰经常拥堵 还总发生因为机动车抢行而发生的交通事故 希望有关部门尽快解决交通信号灯的问题 ,东丽区   津 汉桥   桥下   外环线 向 机场 方向   跃进路   交口   红绿灯 未 开启   车流量 很大   致使 早晚 高峰 经常 拥堵   还 总 发生 因为 机动车 抢行 而 发生 的 交通事故   希望 有关 部门 尽快 解决 交通 信号灯 的 问题  
73,中纺前街与华新大街交口有一穿红色衬衣，黑色长裤女子。收售烟酒药品，严重影响附近居民的健康。,中纺 前街 与 华新 大街 交口 有 一 穿 红色 衬衣 ， 黑色 长裤 女子 。 收售 烟酒 药品 ， 严重 影响 附近 居民 的 健康 。
74,天津市河北区北宁公园内有一枯树树枝断裂，如果遇到大风天气极有可能砸到晨练的老年人，造成人员伤亡，希望有关部门及时清理断裂的树枝，防止安全事故发生。,天津市 河北区 北宁 公园 内有 一 枯树 树枝 断裂 ， 如果 遇到 大风 天气 极有 可能 砸 到 晨练 的 老年人 ， 造成 人员伤亡 ， 希望 有关 部门 及时 清理 断裂 的 树枝 ， 防止 安全事故 发生 。
75,天津市南开区华苑地华里15号楼门前自来水跑冒。而且跑冒现象已经持续两三个月了，至今无人问津，小区里业主和物业居委会多次反映相关部门无果，现在市政府对环保很重视，而且天津现在是极度缺水的城市，那么多的干净水源就浪费了，让老百姓很是心疼，希望有关部门及时解决,天津市 南开区 华苑 地 华里 15 号楼 门前 自来水 跑 冒 。 而且 跑 冒 现象 已经 持续 两三个 月 了 ， 至今 无人问津 ， 小区 里 业主 和 物业 居委会 多次 反映 相关 部门 无果 ， 现在 市政府 对 环保 很 重视 ， 而且 天津 现在 是 极度 缺水 的 城市 ， 那么 多 的 干净 水源 就 浪费 了 ， 让 老百姓 很 是 心疼 ， 希望 有关 部门 及时 解决
76,嫌疑人性别: 男是否是少数民族: 是嫌疑人身高: 170以下嫌疑人年龄: 20以下,嫌疑人 性别 :   男 是否是 少数民族 :   是 嫌疑人 身高 :   170 以下 嫌疑人 年龄 :   20 以下
77,在子牙河北岸天河桥东侧通往天平路的马路上看到，路面被涂上了黄色长方形方框，几辆悬挂黄色教练车牌照的车辆正在练习左右倒车入库、侧方停车等。其中一辆教练车车顶还罩了个超大的遮阳伞，把前挡风玻璃遮挡住了一半。教练车开起来歪歪扭扭，过往车辆纷纷鸣笛躲避，存在严重的安全隐患，希望有关部门进行治理。,在 子牙河 北岸 天河 桥 东侧 通往 天平 路 的 马路上 看到 ， 路面 被 涂 上 了 黄色 长方形 方框 ， 几辆 悬挂 黄色 教练车 牌照 的 车辆 正在 练习 左右 倒车 入库 、 侧方 停车 等 。 其中 一辆 教练车 车顶 还 罩 了 个 超大 的 遮阳伞 ， 把 前 挡风玻璃 遮挡住 了 一半 。 教练车 开 起来 歪歪扭扭 ， 过往 车辆 纷纷 鸣笛 躲避 ， 存在 严重 的 安全隐患 ， 希望 有关 部门 进行 治理 。
78,近日，一到夜晚以海河的解放桥为主的跨河桥或亲水平台上就会上演“跳水表演”，跳水爱好者为博得掌声，从数米高的堤岸或桥面鱼跃跳进河中。专业跳水人士对其选择海河跳水以及动作技术上的不专业感到忧心忡忡。这种活动严重危害了自己的生命安全和城市形象，希望有关部门进行治理。,近日 ， 一到 夜晚 以 海河 的 解放 桥 为主 的 跨 河桥 或亲 水平 台上 就 会 上演 “ 跳水 表演 ” ， 跳水 爱好者 为 博得 掌声 ， 从 数米 高 的 堤岸 或 桥面 鱼跃 跳进 河 中 。 专业 跳水 人士 对 其 选择 海河 跳水 以及 动作 技术 上 的 不 专业 感到 忧心忡忡 。 这种 活动 严重危害 了 自己 的 生命安全 和 城市形象 ， 希望 有关 部门 进行 治理 。
79,无暇街春霞里小区每天早晨3.4点钟就有商贩来站道经营，实在影响日常休息，而且每天早晨过的路根本没法走，已经被商贩堵严，联系综合执法，根本连理都不理，以前常走的路，现在每天早晨只能绕道出行，本来宽敞的马路被占到经营。早市就成立在每天开车路过的马路上，影响交通和小区居民晚上休息，而且散市以后影响环境，脏乱无人收拾严重影响周边居民生活。,无暇 街春霞 里 小区 每天 早晨 3.4 点钟 就 有 商贩 来 站 道 经营 ， 实在 影响 日常 休息 ， 而且 每天 早晨 过 的 路 根本 没法 走 ， 已经 被 商贩 堵严 ， 联系 综合执法 ， 根本 连理 都 不理 ， 以前 常走 的 路 ， 现在 每天 早晨 只能 绕道 出行 ， 本来 宽敞 的 马路 被 占 到 经营 。 早市 就 成立 在 每天 开车 路过 的 马路上 ， 影响 交通 和 小区 居民 晚上 休息 ， 而且 散市 以后 影响 环境 ， 脏乱 无人 收拾 严重 影响 周边 居民 生活 。
80,天津市河东区二号桥街福东北里居民。与本小区一路之隔的福东里垃圾站，该站位于建东道福东里一侧，与北里最近处不过15米，每天凌晨四点半准时作业，有时甚至四点就开始，大小型垃圾运输车辆频繁出入，垃圾倾倒、车辆噪声，人员喧哗等十分嘈杂，近期该站增加了不少大型垃圾处理设备，噪声更是加剧，作业更是频繁，晚上十点以后还有作业情况，现已严重影响附近居民的休息，尤其是老人更是苦不堪言。希望能帮周围居民解决这个噪音问题，还老百姓一个安静的环境。,天津市 河东区 二号桥 街福 东北 里 居民 。 与 本 小区 一路 之 隔 的 福东里 垃圾站 ， 该站 位于 建 东道 福东里 一侧 ， 与 北里 最近 处 不过 15 米 ， 每天 凌晨 四点 半 准时 作业 ， 有时 甚至 四点 就 开始 ， 大 小型 垃圾 运输 车辆 频繁 出入 ， 垃圾 倾倒 、 车辆 噪声 ， 人员 喧哗 等 十分 嘈杂 ， 近期 该站 增加 了 不少 大型 垃圾处理 设备 ， 噪声 更是 加剧 ， 作业 更是 频繁 ， 晚上 十点 以后 还有 作业 情况 ， 现已 严重 影响 附近 居民 的 休息 ， 尤其 是 老人 更是 苦不堪言 。 希望 能 帮 周围 居民 解决 这个 噪音 问题 ， 还 老百姓 一个 安静 的 环境 。
81,凤凰城南门南侧与东风里小区北侧有一条无名小路，此道路连接气象台路。该路是进入东风里小区的主路，道路上没画停车线，东风里小区居民车辆都停在该路上。而路口处有一个大爷收取停车费，他未穿工作服，也没有发票。东风里小区车辆他认识的不收费，其他车辆停车就要钱。乱收费现象严重。请有关部门予以核查并处理。,凤凰 城南 门 南侧 与 东风里 小区 北侧 有 一条 无名 小路 ， 此 道路 连接 气象台 路 。 该路 是 进入 东风里 小区 的 主路 ， 道路 上 没画 停车线 ， 东风里 小区 居民 车辆 都 停 在 该 路上 。 而 路口处 有 一个 大爷 收取 停车费 ， 他 未 穿 工作服 ， 也 没有 发票 。 东风里 小区 车辆 他 认识 的 不 收费 ， 其他 车辆 停车 就 要钱 。 乱收费 现象 严重 。 请 有关 部门 予以 核查 并 处理 。
82,天津市河北区建昌道长青北里4号楼后有一平房住户，养各种动物。鸡鸭，鸽子。羊，狗等。味道特别大。而且扰民严重。每天不同时间鸣叫。所辖区街道投诉多次无果。说没有执法权。综合执法大队也是打电话多次打不通。希望有关部门予以解决。,天津市 河北区 建昌 道 长青 北里 4 号楼 后 有 一 平房 住户 ， 养 各种 动物 。 鸡鸭 ， 鸽子 。 羊 ， 狗 等 。 味道 特别 大 。 而且 扰民 严重 。 每天 不同 时间 鸣叫 。 所 辖区 街道 投诉 多次 无果 。 说 没有 执法权 。 综合执法 大队 也 是 打电话 多次 打 不通 。 希望 有关 部门 予以 解决 。
83,耀远里小区一号楼后身垃圾场，连续三天夜里有三辆大车铲沙到十二点，很扰民声音极响，包括开车的声音和铲沙的声音，还看到他们给车牌喷漆。,耀远里 小区 一号 楼后 身 垃圾场 ， 连续 三天 夜里 有 三辆 大车 铲 沙到 十二点 ， 很 扰民 声音 极响 ， 包括 开车 的 声音 和 铲 沙 的 声音 ， 还 看到 他们 给 车牌 喷漆 。
84,最近家中父母总是接到莫名电话，称自己是移动，联通公司的客服，其手中有家中老人信息名字、身份证号，问询老人信息后称有老人有在公司办理了另一张手机卡，并向外发送信息，已发送2万多条，要求老人补交话费，否则就将老人手机全部关机。此类现象疑似新的电话诈骗手段，请有关部门加紧防范。,最近 家中 父母 总是 接到 莫名 电话 ， 称 自己 是 移动 ， 联通公司 的 客服 ， 其 手中 有 家中 老人 信息 名字 、 身份证号 ， 问询 老人 信息 后称 有 老人 有 在 公司 办理 了 另 一张 手机卡 ， 并 向 外 发送信息 ， 已 发送 2 万多条 ， 要求 老人 补交 话费 ， 否则 就 将 老人 手机 全部 关机 。 此类 现象 疑似 新 的 电话 诈骗 手段 ， 请 有关 部门 加紧 防范 。
85,举报黄色网站http://222.caoliubb.com,举报 黄色 网站 http : / / 222 . caoliubb . com
86,财经大学地铁站出口打车时出租车不给打表，按目的地按位收费一口价，不合规定。还有许多黑出租和三蹦子，同样一口价，存在安全隐患，且严重影响城市形象。,财经大学 地铁站 出口 打车 时 出租车 不 给 打表 ， 按 目的地 按位 收费 一口价 ， 不合规定 。 还有 许多 黑 出租 和 三蹦子 ， 同样 一口价 ， 存在 安全隐患 ， 且 严重 影响 城市形象 。
